5000,1388,D,FD01DISP,County FireEMS Dispatch,Fire Dispatch,Adams County 01,2
5001,1389,D,FD01TAC04,County Fire Tac 4,Fire-Tac,Adams County 01,2
5002,138A,D,SC01EMER,Countywide School Emergency,Emergency Ops,Adams County 01,2
5004,138C,D,FD01TAC01,County Fire Tac 1,Fire-Tac,Adams County 01,2
5005,138D,D,01FIRE18,West Union Fire Page,Fire Dispatch,Adams County 01,2
5006,138E,D,FD01TAC02,County Fire Tac 2,Fire-Tac,Adams County 01,2
5008,1390,D,FD01TA,County Fire Talkaround,Fire-Tac,Adams County 01,2
5009,1391,D,01EMS100,County EMS Peebles Page,EMS Dispatch,Adams County 01,2
5011,1393,D,01EMS200,County EMS Seaman Page,EMS Dispatch,Adams County 01,2
5012,1394,D,01EMS300,County EMS Winchester Page,EMS Dispatch,Adams County 01,2
5013,1395,D,01EMS218,West Union EMS Page,EMS Dispatch,Adams County 01,2
5014,1396,D,01FIRE11,Green Township Fire Page,Fire Dispatch,Adams County 01,2
5015,1397,D,01FIRE12,Blue Creek Fire Page,Fire Dispatch,Adams County 01,2
5016,1398,D,01EMS10,Manchester EMS Page,EMS Dispatch,Adams County 01,2
5017,1399,D,01FIRE15,Peebles Fire Page,Fire Dispatch,Adams County 01,2
5018,139A,D,01FIRE16,Seaman Fire Page,Fire Dispatch,Adams County 01,2
5019,139B,D,01FIRE17,Wayne Township Fire Page,Fire Dispatch,Adams County 01,2
5020,139C,D,01FIRE19,Winchester Fire Page,Fire Dispatch,Adams County 01,2
5021,139D,D,01FIRE20,Franklin Township Fire Page,Fire Dispatch,Adams County 01,2
5505,1581,D,LACP,LimaAllen County Paramedics LACP,EMS Dispatch,Allen County 02,2
5508,1584,D,LIMA FIRE,Lima Fire,Fire Dispatch,Allen County 02,2
5509,1585,D,02EAST,Fire East  DispatchOperations ,Fire Dispatch,Allen County 02,2
5511,1587,D,LIMA PD,Lima Police Dispatch,Law Dispatch,Allen County 02,2
5512,1588,D,02OPS1,Common  Operations 1,Interop,Allen County 02,2
5515,158B,D,02OPS2,Common  Operations 2,Interop,Allen County 02,2
